City	Trip	Id	Photo	Description	LatLng	From	To	People	Locations	NumberInTrip	One	Two	Three	Four	Five	Six	Seven	Eight	Nine	Ten	Eleven	Twelve	Thirteen	PhotoAlbum
Mexico City	Abidance	346	x	I finish The Bell Jar on the flight. Ryan picks us up and takes us like 2 min straight to a taco alley with all sorts of joints. There's a ska band playing up above our heads. The one we do has stations for each type of taco. We stand in front of a mother pot with all sorts of delicious secrets and share a few cheesy meaty greasy boys with a coke.<br><br>Sweet jamaica tea with chips & chicharron peppers in the kitchen. We get in a line somewhere in the grasshopper hills. Ryan disappears and returns with seafood tostadas y empanadas. A man walks by playing a sleepy jazzy Celito Lindo on a big ass trumpet. We make it through the line and split a mix seafood cocktail. The sauce is sweet and is made with Fanta. Liz fails the saltine challenge. Back in the car for a few min to another taco place. We put our names on the list and wander the tree-consumed block. Chicharron from the store. Into the restaurant for some stupid tacos—beef pastor, mushroom with truffle and beans, squash blossom quesadilla, steak and fries, unreal salsas. Bag drop at home and then out for a walk through beautiful neighborhoods <s>over</s>grown with plants. Yummy coffee from an art gallery that enjoys taking the piss out of Michelin. We stroll by the lush Lincoln Park and nab a nibble of conchinita pibil. To a bar for two rounds and cheese fries. Another bar or maybe two. I've somehow lost count. Am I in an Aztec temple that is also a disco? Yes. They're playing Nortrno and serving insects. My drink tastes like a corn tortilla milkshake. How is it only 9? I'm not hungry, but we go out to dinner—these are the rules. It's a warehouse serving squid ink rice, ceviche and a killer bean & cheese burrito. It only hurts a little, but it feels good a lot.<br><br>We walk through the quiet streets. First stop is coffee. R does espresso and OJ and it fucks (am I using that term correctly, Ryan?). I dunno, maybe it slaps. Next we take the metro to Centro and have some tacos that have been like incubated in oil. This place has actual vats of guac. Through the main square for painted prickly pear and pretty sinking buildings. The cathedral cats tease Liz. Uber back to our part of town for lunch. We're on the second floor of an open terrace overlooking a park. Raw tuna tostada with uni and bonito. Unholy crispy tuna carnitas. Fish two ways. Meringue with whipped cream and fruit. No luck with bike rental so we talk and walk. We teach Liz about poppers. Siesta #1 in the park lying on some grass. Siesta #2 at home. Back out for dinner at a standing taco restaurant. The gordita is muy good. The next two places we try (a bakery and a Thai taco spot) are sold out. We settle with nutty gelato. Almost home, but Ryan sneaks in a cheeky street Pastor for us to share. These are the rules, we abide. Bed.<br><br>Liz and I get a ride to Teotihuacán. We walk the wide promenade and take in the respective pyramids of the Sun and Moon. Nobody knows who built them or why. They are filled in, unlike the African kind. These likely acted as the most mega badass sacrificial alters humans have ever created. East to a cave restaurant for some yummy mutton consommé, corn soup, chicharron monoliths in guac, and mole. Walking back to the site, we hear fireworks going off. A bit further on and we are lured by the sounds of a marching band...who aren't marching. It's a sort of parade that stopped to cool off under some trees. In a few minutes someone passes around plastic cups. Then someone else comes by and puts brandy in them and someone else Coke. We abide. More exploring. A kindly man sells us bracelets of questionable metal. Back to town. Museo Soumaya for lots of sculptures and many other good things mashed up in close quarters. The 17th century monkey and cat barbershop is a standout. To the store for salsa matcha and back home. A very quick clean up and then to Ticuchi. Three killer cocteles. Rice puffs with salsa. Shredded cheese with cacao. Tamal with huitlacoche. Tostada with shrimp chorizo. White mole with carrots. Big crispy guy with mole, plantain, cheese and seepweed. Another rice crisp. Little corn. Pavlova with rosemary oil. Tres leches with cardamom. Popcorn helado. That's not quite enough food so Ryan takes us by a churro shop for those and hot chocolate. I know better than to fight it. Chats, hugs and bed.<br><br>Up at 4 to fly home.	19.433601, -99.185281	Jan 16, 2026	Jan 20, 2026	Ryan																https://photos.app.goo.gl/TF3KwssE1p3zqSTV8
New York City	NYChristmas	345	x	On the plane I watch Terminator 2 and the first half of 28 Years Later. Easy peasy to our hotel in Long Island City. Across the street to Dutch Kills for Christmas vibes, a jukebox overpowered by the DJs, and yummy drinks. Late to bed.<br><br>Late awake. Ride down to Win Son Bakery for an egg and cheese on scallion pancake with a black sesame latte. We decide to walk to Williamsburg, with a few stops along the way. To Edith's for a tahini cold brew slushie. Then to Quimby's for weird books and sleeping cats. Next is Union Pool for a pilsner and chemical photo booth #1. A stall on the street for photo booth #2 @ Old Friend. Big ol' pants from COS. Pizza from Vinnie's. To an art market for an Al Pacino paper mache. Car ride east to TWA Hotel. A little lie down and then we get pretty. Liz puts on this stunning red velvet dress. I hurry up and finish The Magic Necklace so she can wear the pears around the incredible space. I take one million pictures of her looking so beautiful and in her space.<br><br>We nibble on pastries, check out and scope the runway from the rooftop. I head out to meet D&B at the Oyster bar at Grand Central. I nibble and sip while we catch up for a bit. To the 5th Ave COS for a cute skirt. On the way to the hotel I spot 30 Rock. Hang and clean up with Liz in the hotel for a bit before Carmine's for dinner with the family. I get to chat with Tucker a lot which is so wonderful. The dinner is salads with red wine and then a mix of pastas and veal marsala. Dessert is tiramisu cheesecake and cannoli. It's also lovely and it's just great to be together with everyone. We stand outside and chat for a bit and eventually part ways. Liz and I walk along with Justin and family over to Rockefeller center and take in the tree before also each heading back to our respective hotels.<br><br>I sleep in until 11:30. I decide to do a bit of shopping at Mango where I find some nice things and then stroll through Central Park. It's pretty and definitely feels like early winter. There's a drizzle and the trees are losing their leaves. Back to the hotel where Liz and I snack on chicken wings and a wagyu burger with drinks to complement. Cozy then clean up and to Dear Irving, on Broadway where we meet Krys and Devyn for a little pre game. Dinner is stupid and incredible. We get a kitchen tour in the end.<br><br>No brekkie. To Bryant Park. Plunkett under the tree and then twins at the grill. We pop by a bakery then stroll up 5th. I buy things for the boys from the Adidas store. Clean up at the hotel and then to Oceana. We have a private room in the middle of the restaurant. K&D set up a personalized set menu with 45 minutes of hors d'oeuvres like coconut shrimp, mushroom arancini, steak with chimicuri, an little potatoes with caviar. The meal consists of mushroom risotto, crab cake, halibut, filet mignon, chocolate budino, and lemon curd cake, all with plenty of wine. Dinner is a joy. After the meal is complete, we stay around for probably another 70 minutes chatting and taking pictures and polishing off some bottles. We are feeling ambitious and want to check out the Rockefeller center tree, but 5 minutes into attempting to parse through the crowds we opt for a much smaller pretty Christmas tree right next to us. Nikki and I belt Cindi Lauper. After many hugs and kisses, Liz and I nab our bags and make for Jersey City. More hugs and some Coven.<br><br>A lazy morning filled with Coven, pain au chocolate & bg3 for me. We walk to the AMC near his place for The Housemaid, which is good fun. A quick relax and then to Shanghai 21 in Chinatown. They say it's a 90 min wait, but we find a decent little bar called Basement to warm our hands and tummies. Dinner is tea, soup dumplings, little buns, scallion pancakes, crispy beef, eggplant with garlic, mapo dofu. Back for Pluribus with spritzes and then Coven with French hot chocolate.<br><br>Very lazy day. Breakfast bagel sandwichs & bg3. Eventually Coven and homemade butter chicken and garlic naan. Snow falls throughout the evening.<br><br>The ground is mostly white. Slow start with leftovers and then up to meet Sean & Cori at MOMA for the Ruth Asawa exhibit. We see patterns. Iterations. Breaks. Returns. The floor below features some excellent paint on things from folks of renown. A short walk and a long wait outside and we're in Tomi Jazz. It's dark and maximalist. A model train makes quiet loops around the ceiling. A jazz trio grooves. To a tiny back room. Where the music fills the ambiance. We get a bottle of sake and a bunch of treats. Udon with cod roe, yakisoba, katsu sando, mapo dofu, curry udon, okonomiyaki, spam rolls, fried brie, cucumber with miso. After a bit they move us into the main room, just next to the band, which is special. Kisses.<br><br>To a spot for bagels. A robot is picking up an order. Back to his for a bec and a lox. Killer. Davey drives us to Philly. To the Philadelphia Art Museum for the Surrealism at 100 exhibit. After taking in a bunyit great surrealist art we split and wander through different parts of the massive building. I take in some Asian spaces. Next to Woodrow's for cheesteak sandos. David drops us at the airport where we lounge in the Chase lounge before catching the flight home.	40.645398, -73.777790	Dec 20, 2025	Dec 28, 2025	Plunkett Family, David																https://photos.app.goo.gl/dV826on6V9g1P3fAA
Orlando	Getting Gay	344	x	Too busy to take note, apparently. Pride. Pizza. Two tiki bars. 	28.545556, -81.373128	Oct 17, 2025	Oct 19, 2025	Michael & David, Glo & Garrett																https://photos.app.goo.gl/2v3BVv4t6NkboJVt7
Houston	Spacing Out	343	x	We drive from Dallas and get downtown at 10. Liz takes us to Tiny Champions for massaged cabbage, vegan butter beans, anchovy pizza, and fennel caramel cookies. To bed.<br><br>I make gross coffee in the room and research hair transplants in Turkey. Siphon for sunken flavor lattes and hangover fries. The Rothko Chapel. Down to NASA for space stuff. We opt for the Apollo command center tour, which is pretty unreal. ChòpinBlok for steak skewers, grilled shrimp, fried plantain, stew and plantain bread. Nickel City has a resident feline. Early to bed for me.<br><br>Slow drip for coffee guys and breakfast tacos. Into the old warehouse district for Meow Wolf. It's set in a radio station. The spaces are intimate and creative. There are many opportunities for musical interactions. And there's a killer Texas dive bar called Cowboix Hevvven. We get Lone Stars and suck at pool. This is the best Meow Wolf. Into Soma for some cute undies and then to Alora for Viet Peruvian. Everything is beautiful. Next to White Oak Music Hall for Djo. The bad is tight. The music is great. We drive north and get home before 2 a.m.	29.550877, -95.097185	Oct 3, 2025	Oct 5, 2025																	https://photos.app.goo.gl/vvMm5yoeFRucgiXo6
Minneapolis	SpamCon	342	x	In bed at 1.<br><br>We work from the room, trying not to talk over each other on calls. Expensive coffee from across the street. Liz orders stupid good Italian sandwiches from somewhere. Dinner is Owamni. Corn soup. Caramelized corn. Charred veggies. Salmon tartare. Refried beans. Tea. Epazote Martini.<br><br>I don't keep track of everything, but we spend three days puzzling the heck out of our brains. We nab yummy hot dogs. Word on the Street with Sandy & friends. The highlight is the Extravaganza, which is a bunch of neat puzzles about the fictional city of Reme. It culminates in a scavenger hunt with some very creative lego displays.	44.981136, -93.260407	Jul 16, 2025	Jul 20, 2025	Marc																https://photos.app.goo.gl/X9DkEqsV5fHVQepz5
Lyon	Circles	341	x	Check into the hotel and nap for a bit. At 6:00 we get a ride to Les Lyonnais in Vieux Lyon for a buchon. Pork & potato pie plus a pike souffle in lobster sauce. Wine of course. I order two glasses of wine in French and our server says "Woah, your French is very good". I say "Vous etes tres gentile" and he says "No. I lied, it's not good." Back home. We're both wiped and call it early.<br><br>Liz has a kidney stone. They let us check out at three. I apply for a job. To Les Halls de Lyon Paul Bocuse. Most stalls are shut down, but we get a praline tart and macrons from one. At another we do a seafood tower and great wine. To Comptoirs de Cottoniers for some more cute baggy pants. We get a ride to pick up bags and go to our new hotel at the airport. Liz is still unwell. I work on code and grab beer, calamari & burrata pizza from the restaurant downstairs.<br><br>A nice little breakfast and then to onto the plane. Change in London and back home.	45.784998, 4.853006	Jun 21, 2025	Jun 24, 2025																	https://photos.app.goo.gl/ja6Hdp7rgxmfUc3J9
Dijon	Circles	340	x	12:57: Off the steel tube and into the stone city. 1:11: Up into bed. 3:45: Les Moulins Blues for a killer and huge dijonaise crepe and some local craft beers. 8:03:<span class="list__container menu"><span class="list__title">Cibo</span><span class="list__item">House aperitif: raspberry, chili, gin, sparkling wine.</span><span class="list__item">Donut with 72-hour smoked cheese.</span><span class="list__item">Cheese cone with snail, onion and shallots + pea greens</span><span class="list__item">Crispy bread with cheese, clarified butter, mustard and chives</span>    <span class="list__item">Champagne</span><span class="list__item">Flaxseed bread with clarified butter and local rock salt</span><span class="list__item">Catfish reillette in beetroot paper</span><span class="list__item">Beetroot kombucha</span><span class="list__item">Beetroot pickles with shiso, catfish tartare and beetroot & raspberry dressing</span><span class="list__item">Ricotta and salt ravioli in beef broth with mint oil</span><span class="list__item">Turnip ice cream with turnip greens</span><span class="list__item">Turnip root with deer charcuterie, fermented white asparagus sauce, topped with mint oil and meat garum.</span><span class="list__item">Smoked trout belly with fried zucchini blossom</span><span class="list__item">Zucchini with trout eggs and cream</span><span class="list__item">Trout fillet with crouton, sorrel and yuzu zest</span><span class="list__item">Local river fish belly confit with fir oil.</span><span class="list__item">Grilled river fish on peas with fish stock reduction</span><span class="list__item">Buckwheat crumble over buckwheat custard with little flowers</span><span class="list__item">Raspberry cube</span><span class="list__item">Raspberry sorbet with sheep milk foam, merengue and raspberry vinegar</span><span class="list__item">Buckwheat tart with raspberry</span><span class="list__item">Candy with raspberry filling</span></span>12 ish: straight to bed for twelve hours.<br><br>2:03: Check out and downstairs to polish up my resume. 3:30: Yummy galette and spritzes by the merry go round. 5:20: A woman accordionist plays Hallelujah in front of the big church. It's beautiful. 5:25: We pet the owl with our left hands and each make a wish. 5:29: Pastries. 6:20: On board for St Georges. I have lost track of time. Dominique picks us is along with two other attendees. Hellos to the folks we know. A clean up and a change in our room and then downstairs for mingling. We make a few new aquatinces. Pizza and wine in the green space until it gets too dark to see. Bed and dead.<br><br>We wake at noon, clean up and head down. The wedding is gorgeous. The speeches are heartfelt. The couple is precious. To another area for a puzzle game. Photos, hors d'ouvres and wine in the yard for a few hours. In time we're in the hall for an excellent vegetarian dinner of rice and zucchini balls in a delicious Indian sauce. Shoe quiz. Wine. Cheese. Dancing. All night. We go to bed when the sun comes up.<br><br>Pain au chocolate avec les amis. At 12 Alexis takes us to the station. We ride to Lyon with Anaïs, Alexia's sister. We talk family and therapy.	47.136090, 4.949475	Jun 18, 2025	Jun 21, 2025	Alexia & Sego, Melvin, Pibi, Jan, Jannick, Sam & Madrid																https://photos.app.goo.gl/ja6Hdp7rgxmfUc3J9
Paris	Circles	339	x	I watch John Wick on the flight and get some good sleep. 11:02: We land at CDG and get a ride to the Marriott. A few hours of napping and we head out at 4:30. We head to Maison Philippe Conticini (the chef who did Patesserie des Reves) for a black-coated tender vanilla guy, a raspberry tart and a canelé. There are no seats in the shop so we head to a nearby park and munch and take fisheye selfies. 6:48: We stop at a random cute bistro for a beer and Aperol spritz. VIII: Liz takes us to an inconspicuous sundial made by Sal Dali. 8:32: Arrive at Bar Nouveau for a Ramos Whisky Fizz and a Delicious Sour. 10:11: L'As de Falafel for a falafel sandwich and a shawarma sandwich plus frites with lots of mayo for me. We hold hands walking through the cool dark streets. 11:02: The Cambridge Public House. We give one another cocktail-like descriptors. Liz: Complex - Cheeky - Adventurous. Kayla: Curious - Funky - Deep. 12:43: Back at the hotel. Straight to bed.<br><br>8:28: I'm dead, but up in a rush to bounce out a bit past 8:45. I wear my cute new polka dot dress. Our first stop is Musee des Arts Forains. Our guide is the same gentleman as before. This place is magical. 11:32: Cafe au lait from Pauline. 12:07: Musee Melies. They have a special exhibition of Wes Anderson film goods, so naturally we do both. Two magicians. 3:24: Bourse de Commerce and an onigiri in line. 6:09: COS for a cute dress. 6:50: Danico for four Peruvian-inspired cocktails and two superlative pizzas with soft, crispy, chewy dough. Still pretty early: Dead in bed. We sleep for something like 11 hours.<br><br>9:46: The hotel breakfast is pretty yummy. I work on savoring my bites. 10:15: Out and on some rails to Dijon	48.854060, 2.323162	Jun 16, 2025	Jun 18, 2025																	https://photos.app.goo.gl/ja6Hdp7rgxmfUc3J9
Cody	No Country for (39 year) Old Men	338	x	We land in Billings late and, tempted as we are for late night tacos, the bed calls.<br><br>Slow rise. Cold foam. Dive bar burgers and shake. Humans hugs and kisses. Whitney. Landscapes. Huckleberry taffy. Cody. Blanca Tatanka. Ice cream. Groceries. Elliot. Scott and Missy.<br><br>In the middle of the night. Kayla: "Is someone there?". Liz: "Yes." Kayla: "Who is it?" Liz: "Liz." Kayla: "Sorry, I'm really confused". I fall back asleep. Sage brush. No trespassing. Lychee coffee. Breakfast tacos. A drive. Horses. Smoke. Playboy. Spade. Junior. Razor. Shadow. Star. Rock formations. More groceries, Elliot and alcohol. Spritzes. Pasta. Pasta. Bread sticks. Salad. Salad. Cookies. High wind. "Is anyone else having a pleasant time?" Monikers. Kate Bush. Child soldiers. Nutcracker. Rasputin. <br><br>Oatmeal griddle cakes with cinnamon maple butter plus bacon and great coffee. Clean up and down the road a few for our Bridal Veil Falls. We have an uneventful way for a bit. Then a lot happens at once. We realize we missed the turn off. Liz gets quite red. And a storm looms deep in the valley. We cool off for a few a nibble sandwiches. Sean and India jog off towards the cars. The rest of us walk. Fortunately the storm goes the other direction. Back and back. Liz is unwell. I spend a while in the bathroom with her. First it's pretty scary, but she slowly seems in slightly less pain. We nap together a good bit. Nikhil arrives. We hang, do yummy chicken tacos, and then do surprise times for Sean. India and Cori made cowboy shirts with Sean's face on them, plus Thunderhoof tattoos. Liz joins. A nice happy birthday song and then delicious cake outside. Back in for spritzes, pictures and a bunch more Monikers.<br><br>Up & at 'em.	44.910949, -109.217234	May 8, 2025	May 12, 2025	Sean & Cori, India, Nikhil, Scott & Missy																https://photos.app.goo.gl/LfDoGqs5LoiwShG37
Las Vegas	The Terminal	337	x	Redemption burgers from Smash and then we're in Vegas. Our last leg of our last trip at American. I couldn't think of a more appropriate place for this. To the Westin for a nap. Downstairs for a drink surrounded by a bunch of Dead Heads. Up and out to Omega Mart for a nice, trippy time. The light shows feel particularly good at this location. Our next stop is Shang for Dan Dan and beef shank noodles. Zoom back for a pretty up and then zoom again to Venetian for Dita. Holy cow this theater is incredible. Giant metal bursts of shapes a la Metropolis. There are only round tables, no rows of chairs. The floor is just a gentle slope up. Bubbles are suspended above. The stage features a catwalk that goes well into the theatre. I absolutely love the vibe. The show is wonderful. Similar to the horseshoe show, but a bit more intimate & paired down. Up to the arts district for Velveteen Rabbit, a low key yet refined cocktail bar, for a few yummy drinks. We pick up a cheeky schwarma on the way back and eat that boy in bed. Dead.<br><br>Dead. Up at maybe 10. Voices hoarse. From smoke I guess. I have a productive shower/meds/stretch/breakfast. Free desserts to go. Into Red Dwarf for cinnamon cider, a Dole Whip in a devil's head, Detroit pizza, and Generic Surf Rock Band. This bar kicks ass. Over to PINBALL where we I work on my strategy and we spend a short while reconnecting with the Harris-Hepworth family. To the airport for home times. This is our final trip at AA. What a run it has been.	36.136606, -115.135552	Mar 29, 2025	Mar 31, 2025	Harris-Hepworth																https://photos.app.goo.gl/kfpNDfcTcAkk5z6D8
